number,app,user_feedback,relevant_review,issue_text,fitting_issue,user_feedback_id,issue_id,distance,searched_manually,found_relevant_issue_manually
26,org.mozilla.firefox,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,TRUE,"There should be an ""open all in tabs"" option if you long-press one of the synced devices in the History section.",FALSE,gp:AOqpTOGwNQ9l9H0UqcSW1TaBFPFwkkUtlsBLWQX7NyQNlRSHDVsbpaq2D6wQcZHb1BmUMb6KRR9nKkT40MQ1cA,1546026,0.8939258456,FALSE,FALSE
27,org.mozilla.firefox,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,TRUE,"Open items from ""tabs from last time"" page on a new tabs",FALSE,gp:AOqpTOGwNQ9l9H0UqcSW1TaBFPFwkkUtlsBLWQX7NyQNlRSHDVsbpaq2D6wQcZHb1BmUMb6KRR9nKkT40MQ1cA,887268,0.8896570206,FALSE,FALSE
28,org.mozilla.firefox,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",TRUE,Updating Firefox will change the icons for homescreen bookmarks and webapps,FALSE,gp:AOqpTOHsQSGALl2eSse4Ym2NUJMfnyY9B07juYhrV5QwLa2COm1j2CAFhuT0UZsZNYFF5XvmPODTd_PzgogQ1w,968427,0.8779039979,TRUE,FALSE
29,org.mozilla.firefox,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",TRUE,"Create a ""Want to make me your default browser?"" prompt for users somewhere",FALSE,gp:AOqpTOHsQSGALl2eSse4Ym2NUJMfnyY9B07juYhrV5QwLa2COm1j2CAFhuT0UZsZNYFF5XvmPODTd_PzgogQ1w,1001543,0.8722099662,TRUE,FALSE
30,org.mozilla.firefox,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!",TRUE,Don't request write/read stock Android browser history and bookmarks,FALSE,gp:AOqpTOHsQSGALl2eSse4Ym2NUJMfnyY9B07juYhrV5QwLa2COm1j2CAFhuT0UZsZNYFF5XvmPODTd_PzgogQ1w,751930,0.8691413999,TRUE,FALSE
31,org.mozilla.firefox,"Firefox great as always in personal control, but horrible slow in the android departure.",TRUE,"firefox beta locks up,force closes,screen freezing in android Kit Kat 4.4.2",TRUE,gp:AOqpTOFkruMBM__Q7uzMCGCywaOlkhbhRpNWrkQB1KFVXG3HH4g0uSMk46Z8u-rALYCr6gbYosNQOxpeMI5TNw,1095866,0.8237678409,FALSE,FALSE
32,org.mozilla.firefox,"Firefox great as always in personal control, but horrible slow in the android departure.",TRUE,RTL layout cheange to LTR when autorotate feature of android is turned on,FALSE,gp:AOqpTOFkruMBM__Q7uzMCGCywaOlkhbhRpNWrkQB1KFVXG3HH4g0uSMk46Z8u-rALYCr6gbYosNQOxpeMI5TNw,1435171,0.8108974695,FALSE,FALSE
33,org.mozilla.firefox,"Firefox great as always in personal control, but horrible slow in the android departure.",TRUE,Unable to invoke virtual keyboard in portrait mode again after dismissing it in the awesome screen,FALSE,gp:AOqpTOFkruMBM__Q7uzMCGCywaOlkhbhRpNWrkQB1KFVXG3HH4g0uSMk46Z8u-rALYCr6gbYosNQOxpeMI5TNw,701021,0.8104848862,FALSE,FALSE
34,org.mozilla.firefox,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",TRUE,Android 7.1.2. It's most of the time even worse than in this picture: https://imgur.com/a/amXWr  Something like 40%. Had to switch to another browser in a meanwhile until it get fixed. Can I help you by sending some data or anything?,FALSE,gp:AOqpTOH_Ms2kL-b_eg8_B9RSeb3FtVbgcBkwjRoOlBMcu55PYEP76qVuokJ5Rof0GsAtfumcfqJ5SbMrn-ExhA,1500319,0.8455529213,FALSE,FALSE
35,org.mozilla.firefox,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",TRUE,"When I open the app that are minimized, app loaded as if it were the first time that I open",FALSE,gp:AOqpTOH_Ms2kL-b_eg8_B9RSeb3FtVbgcBkwjRoOlBMcu55PYEP76qVuokJ5Rof0GsAtfumcfqJ5SbMrn-ExhA,969194,0.8357721567,FALSE,FALSE
36,org.mozilla.firefox,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.",TRUE,"After some time having Firefox App minimized, websites don't load anymore",TRUE,gp:AOqpTOH_Ms2kL-b_eg8_B9RSeb3FtVbgcBkwjRoOlBMcu55PYEP76qVuokJ5Rof0GsAtfumcfqJ5SbMrn-ExhA,1556702,0.8347033858,FALSE,FALSE
37,org.mozilla.firefox,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",TRUE,I am able to type words in Firefox search bar but unable to type anything in the websites,TRUE,gp:AOqpTOFEdVZ38XMYOyNzcfKP9DIblzyhimELe44ToT0C3t45VyFCG9lfwaJpoPKUyd2e9nz_NOeNPwuDvIwEUA,825487,0.9097325206,FALSE,FALSE
38,org.mozilla.firefox,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",TRUE,"Selecting one word in a search bar (e.g. Qwant, Google, etc.) in order toi replace it does not open the keyboard (only Copy/Paste)",TRUE,gp:AOqpTOFEdVZ38XMYOyNzcfKP9DIblzyhimELe44ToT0C3t45VyFCG9lfwaJpoPKUyd2e9nz_NOeNPwuDvIwEUA,1433629,0.9062798023,FALSE,FALSE
39,org.mozilla.firefox,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",TRUE,"Typing search terms in ""awesome bar"" sends you randomly to a page having to do with the results, not google search",FALSE,gp:AOqpTOFEdVZ38XMYOyNzcfKP9DIblzyhimELe44ToT0C3t45VyFCG9lfwaJpoPKUyd2e9nz_NOeNPwuDvIwEUA,757175,0.8941379189,FALSE,FALSE
40,org.mozilla.firefox,Good browser but it is not possible tochange default download folder to external sd. Too bad.,TRUE,notify user and installing web page on synthetic APK download failure,FALSE,gp:AOqpTOFulvp8EP-LEmSrYJE3QjW7MoJB_YZWDWv7hbigBKBvCRgeV7jns8fk7Jikyp8NeoQ2lr8SFAzTmKpbEw,957062,0.8985642195,FALSE,FALSE
41,org.mozilla.firefox,Good browser but it is not possible tochange default download folder to external sd. Too bad.,TRUE,No option to choose default download folder,TRUE,gp:AOqpTOFulvp8EP-LEmSrYJE3QjW7MoJB_YZWDWv7hbigBKBvCRgeV7jns8fk7Jikyp8NeoQ2lr8SFAzTmKpbEw,1096638,0.8962589502,FALSE,FALSE
42,org.mozilla.firefox,Good browser but it is not possible tochange default download folder to external sd. Too bad.,TRUE,App update fails if Download folder doesn't exist,FALSE,gp:AOqpTOFulvp8EP-LEmSrYJE3QjW7MoJB_YZWDWv7hbigBKBvCRgeV7jns8fk7Jikyp8NeoQ2lr8SFAzTmKpbEw,896735,0.894446671,FALSE,FALSE
43,org.mozilla.firefox,Browser doesn't work on home Depot website.,TRUE,Drop-down menu not working only on a website home page and only on android Firefox,FALSE,gp:AOqpTOHCx2V5sECbTGkyXnZPDhPhoZmjN-JGpGUbU2yHWcA_gyKuLocDcfOxS0fhgDC8eTvSDoLHhf2AbV3FsQ,1180834,0.8553208113,TRUE,FALSE
44,org.mozilla.firefox,Browser doesn't work on home Depot website.,TRUE,First run tour in browser and some settings reset after opening a web app,FALSE,gp:AOqpTOHCx2V5sECbTGkyXnZPDhPhoZmjN-JGpGUbU2yHWcA_gyKuLocDcfOxS0fhgDC8eTvSDoLHhf2AbV3FsQ,1352433,0.8383381963,TRUE,FALSE
45,org.mozilla.firefox,Browser doesn't work on home Depot website.,TRUE,Add a new tab for websites navigator in about:home page for zh-cn locale,FALSE,gp:AOqpTOHCx2V5sECbTGkyXnZPDhPhoZmjN-JGpGUbU2yHWcA_gyKuLocDcfOxS0fhgDC8eTvSDoLHhf2AbV3FsQ,1107548,0.8301388025,TRUE,FALSE
46,org.mozilla.firefox,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",TRUE,[fig] Tapping on a visited page item opens the wrong URL (or no URL) if search suggestions are shown,FALSE,gp:AOqpTOGyDx8XgUeWNBwOH97T4AIQe9Vc0gefNPSkkcJRTB5defO2eja_B1tAXnDUBKQp04-YuPdWjNsivw28TQ,900746,0.9369702339,FALSE,FALSE
47,org.mozilla.firefox,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",TRUE,Site tries to open external URL in new window resulting in blank page,FALSE,gp:AOqpTOGyDx8XgUeWNBwOH97T4AIQe9Vc0gefNPSkkcJRTB5defO2eja_B1tAXnDUBKQp04-YuPdWjNsivw28TQ,1389926,0.9271195531,FALSE,FALSE
48,org.mozilla.firefox,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work",TRUE,Can't search for an URL with widget for searching from error pages,TRUE,gp:AOqpTOGyDx8XgUeWNBwOH97T4AIQe9Vc0gefNPSkkcJRTB5defO2eja_B1tAXnDUBKQp04-YuPdWjNsivw28TQ,1085358,0.9238172174,FALSE,FALSE
49,org.mozilla.firefox,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,TRUE,MathJax Failure on page that renders without problems in other browsers,TRUE,gp:AOqpTOHx5_sRdUgl96nKNQ89_kI5raBS557IDD4hMTl-IC3fdMa4LQcPbAqZnbBwszp4UjcTxPV0mFGPlqrivQ,947231,0.9180691838,FALSE,FALSE
50,org.mozilla.firefox,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,TRUE,Firefox browser crashes when downloading multiple files,FALSE,gp:AOqpTOHx5_sRdUgl96nKNQ89_kI5raBS557IDD4hMTl-IC3fdMa4LQcPbAqZnbBwszp4UjcTxPV0mFGPlqrivQ,1569650,0.8853241205,FALSE,FALSE
51,org.mozilla.firefox,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,TRUE,"""Performance of Add-ons"" and ""Performance of Web pages"" in about:performance doesn't work on Mozilla Firefox Mobile",FALSE,gp:AOqpTOHx5_sRdUgl96nKNQ89_kI5raBS557IDD4hMTl-IC3fdMa4LQcPbAqZnbBwszp4UjcTxPV0mFGPlqrivQ,1366576,0.8831314445,FALSE,FALSE
52,org.mozilla.firefox,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",TRUE,Settings / Sync takes me to my phone's Battery & data manager,FALSE,gp:AOqpTOHD5ybDExqZxNpGWVjH8PK-MBh2noyEuZfVsBQ8v7zhQWhFNzMScCO4LU2Pt9kN97S2MXbpZacDeBedCA,766272,0.8097868562,TRUE,FALSE
53,org.mozilla.firefox,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",TRUE,I need a short menu button. My phone doesn't have a hardware button. I am using the beta for android,FALSE,gp:AOqpTOHD5ybDExqZxNpGWVjH8PK-MBh2noyEuZfVsBQ8v7zhQWhFNzMScCO4LU2Pt9kN97S2MXbpZacDeBedCA,1173209,0.8073701262,TRUE,FALSE
54,org.mozilla.firefox,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!",TRUE,keyboard not coming when typing website with rotate the phone,FALSE,gp:AOqpTOHD5ybDExqZxNpGWVjH8PK-MBh2noyEuZfVsBQ8v7zhQWhFNzMScCO4LU2Pt9kN97S2MXbpZacDeBedCA,812129,0.8053024411,TRUE,FALSE
55,org.mozilla.firefox,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",TRUE,"when Firefox is not running and I send an intent to it from Google's home key swipe search, the website loads as the only tab, not a new one.",FALSE,gp:AOqpTOGG2YV24_ghgHS0hpdCkcrTsZx34dF7ij6x5XbC25fLwtR9tfr07A7tJEErgujCpRLbIc_pab0w2Rqnqw,884167,0.9101009369,TRUE,TRUE
56,org.mozilla.firefox,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",TRUE,Back button doesn't navigate back a page in custom tabs,FALSE,gp:AOqpTOGG2YV24_ghgHS0hpdCkcrTsZx34dF7ij6x5XbC25fLwtR9tfr07A7tJEErgujCpRLbIc_pab0w2Rqnqw,1300574,0.9091258049,TRUE,TRUE
57,org.mozilla.firefox,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",TRUE,"Going back from a custom tab/web app can end up on our ""new tab page"" instead of the original previous activity",FALSE,gp:AOqpTOGG2YV24_ghgHS0hpdCkcrTsZx34dF7ij6x5XbC25fLwtR9tfr07A7tJEErgujCpRLbIc_pab0w2Rqnqw,1362846,0.9083359241,TRUE,TRUE
58,org.mozilla.firefox,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",TRUE,after selecting firefox from 'recently used apps list' browser displays a white screen about 2 second delay and then forces page reload,FALSE,gp:AOqpTOFKhbTZeuW9M8Ixj2jembUm_ld19-p3rdlMamtweurBkLMilr4S0z_h1CuEU_fpteIIKv07fBlhkF9mkg,925903,0.9067742229,FALSE,FALSE
59,org.mozilla.firefox,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",TRUE,Get size of second screen from the chromecast,FALSE,gp:AOqpTOFKhbTZeuW9M8Ixj2jembUm_ld19-p3rdlMamtweurBkLMilr4S0z_h1CuEU_fpteIIKv07fBlhkF9mkg,1116860,0.9021190405,FALSE,FALSE
60,org.mozilla.firefox,"Not the best browser, struggles to download, display video properly in player, ect unlike chrome does. Only reason I'll keep using it is adblock support",TRUE,"Full screen is black and ""the video playback was aborted due to corruption problem or because the video used features your browser did not support""",TRUE,gp:AOqpTOFKhbTZeuW9M8Ixj2jembUm_ld19-p3rdlMamtweurBkLMilr4S0z_h1CuEU_fpteIIKv07fBlhkF9mkg,1046968,0.9020141959,FALSE,FALSE
61,org.mozilla.firefox,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,TRUE,Facebook videos don't play properly. Only occasional frame gets rendered,TRUE,gp:AOqpTOHIM12DGTc-RW_cv7lcf7pfK5NeUssgRE2cDXuXcA2gvzEMeajCXyZFV4vMqTmon0oIhAh8AqK2ZzGoiw,1373742,0.8615265489,FALSE,FALSE
62,org.mozilla.firefox,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,TRUE,MAPLE: picture for the webcam demo may end up out of frames,TRUE,gp:AOqpTOHIM12DGTc-RW_cv7lcf7pfK5NeUssgRE2cDXuXcA2gvzEMeajCXyZFV4vMqTmon0oIhAh8AqK2ZzGoiw,728013,0.8497305512,FALSE,FALSE
63,org.mozilla.firefox,Hurry up and wait. This app is incredibly slow. Photos and videos take forever to load and when they do load the quality is very poor.,TRUE,"Sites with large images OR zooming in on smaller images, Firefox shuts down and dumps to home screen. I've tested this numerous times and made sure it was my zooming that triggered the crash (it was).",TRUE,gp:AOqpTOHIM12DGTc-RW_cv7lcf7pfK5NeUssgRE2cDXuXcA2gvzEMeajCXyZFV4vMqTmon0oIhAh8AqK2ZzGoiw,1057034,0.846724093,FALSE,FALSE
64,org.mozilla.firefox,"Good app when it works, but it constantly crashes when starting up.",TRUE,reinstalling packaged app causes it to get uninstalled,FALSE,gp:AOqpTOHvcxFdQw37mgnHcF5a9zU3acEVriRIfHUwR8n2yL55rhSML15mTKM05HJL6HxFxU5yiVu1I4r4nWz8Fg,967748,0.869102478,FALSE,FALSE
65,org.mozilla.firefox,"Good app when it works, but it constantly crashes when starting up.",TRUE,You should not be able to install same app twice,FALSE,gp:AOqpTOHvcxFdQw37mgnHcF5a9zU3acEVriRIfHUwR8n2yL55rhSML15mTKM05HJL6HxFxU5yiVu1I4r4nWz8Fg,1149586,0.8656480908,FALSE,FALSE
66,org.mozilla.firefox,"Good app when it works, but it constantly crashes when starting up.",TRUE,Packaged app crashes nightly,TRUE,gp:AOqpTOHvcxFdQw37mgnHcF5a9zU3acEVriRIfHUwR8n2yL55rhSML15mTKM05HJL6HxFxU5yiVu1I4r4nWz8Fg,858401,0.854808867,FALSE,FALSE
